id,rollno,first_name,last_name,gender,class
323,1323,Sibylle,Autrie,Male,2
324,1324,Alix,Overell,Non-binary,1
325,1325,Thorny,Ciccarelli,Genderqueer,4
326,1326,Cassi,Kember,Non-binary,1
327,1327,Brit,Wolvey,Female,4
328,1328,Bartie,Kemster,Bigender,1
329,1329,Christos,Tailour,Agender,2
330,1330,Ivie,Caswell,Male,2
331,1331,Andromache,Hamlet,Female,3
332,1332,Alberik,Serjeantson,Bigender,3
333,1333,Sonny,O' Neligan,Genderfluid,3
334,1334,Pearl,Dooly,Agender,1
335,1335,Marika,Cheke,Male,3
336,1336,Noe,D'Alwis,Polygender,1
337,1337,Mychal,Cattermull,Bigender,2
338,1338,Welby,Frantzeni,Agender,1
339,1339,Archambault,Scholes,Male,3
340,1340,Melinde,Spenton,Genderqueer,1
341,1341,Dennison,Almack,Non-binary,1
342,1342,Eydie,Arnaudet,Agender,2
343,1343,Benyamin,Swire,Agender,1
344,1344,Dniren,Olpin,Bigender,2
345,1345,Kelila,Aarons,Bigender,4
346,1346,Dunstan,Kopecka,Male,3
347,1347,Bentley,Renn,Polygender,1
348,1348,Brenna,Rockwill,Bigender,3
349,1349,Magnum,Scholig,Genderqueer,3
350,1350,Iago,Pearman,Female,1
351,1351,Cassi,Budcock,Female,2
352,1352,Langsdon,Elcome,Female,3
353,1353,Blakelee,Kemm,Genderqueer,1
354,1354,Letta,Van Der Walt,Male,1
355,1355,Nicky,Crenage,Female,4
356,1356,Gilemette,Verney,Female,3
357,1357,Lorenza,Disbury,Non-binary,2
358,1358,Cassandra,Cabane,Agender,4
359,1359,Corrianne,Lechelle,Bigender,3
360,1360,Jasper,Bassingden,Male,3
361,1361,Farr,Schoenleiter,Male,3
362,1362,Hebert,Jobke,Bigender,1
363,1363,Tresa,Swale,Male,2
364,1364,Brandy,Breddy,Female,2
365,1365,Marissa,Pods,Genderfluid,3
366,1366,Norine,Reichartz,Male,1
367,1367,Josey,Rate,Genderfluid,4
368,1368,Erl,Meneely,Female,4
369,1369,Neddie,Sinden,Non-binary,3
370,1370,Ansell,Costelow,Genderqueer,2
371,1371,Falkner,Crankshaw,Polygender,4
372,1372,Clem,Aird,Polygender,1
373,1373,Julian,Grayer,Genderfluid,4
374,1374,Frasco,Kasperski,Polygender,4
375,1375,Hyatt,Larkins,Agender,3
376,1376,Vito,Olivie,Non-binary,2
377,1377,Eduard,Tregunnah,Agender,1
378,1378,Shanna,Orrill,Genderqueer,4
379,1379,Gunner,Fludgate,Non-binary,2
380,1380,Kelsi,Stickland,Genderqueer,1
381,1381,Jeddy,Casewell,Bigender,2
382,1382,Virgina,Mougeot,Bigender,3
383,1383,Ryan,Ambroix,Female,4
384,1384,Liana,Sands-Allan,Polygender,1
385,1385,Shawna,Clutton,Genderfluid,2
386,1386,Nessy,Greenhowe,Female,1
387,1387,Marysa,Vernon,Genderfluid,3
388,1388,Shayne,Bundey,Agender,3
389,1389,Darleen,Esselin,Non-binary,2
390,1390,Mollie,Blackader,Genderqueer,4
391,1391,Chad,Naisey,Agender,4
392,1392,Taffy,Thirtle,Polygender,2
393,1393,Phylys,Bradnocke,Male,2
394,1394,Leshia,Milmoe,Female,3
395,1395,Judie,Kenner,Genderqueer,1
396,1396,Aarika,Barge,Polygender,2
397,1397,Jo,Paquet,Female,1
398,1398,Desi,Spaldin,Female,2
399,1399,Ruddy,Worster,Male,3
400,1400,Noach,Ormistone,Polygender,4
401,1401,Pearline,McWaters,Genderqueer,2
402,1402,Deloris,Kirkland,Female,2
403,1403,Bernard,Rider,Agender,1
404,1404,Sheryl,Crosen,Female,4
405,1405,Viole,Brixham,Agender,4
406,1406,Mabelle,Hoppner,Male,3
407,1407,Sayer,Dominey,Male,2
408,1408,Amelie,Speed,Bigender,4
409,1409,Ruthie,Bosche,Agender,4
410,1410,Cherilyn,Wraight,Female,2
411,1411,Terrence,Du Pre,Male,1
412,1412,Quintin,Kuller,Polygender,4
413,1413,Lenette,Chidley,Genderqueer,3
414,1414,Mirna,Croneen,Non-binary,3
415,1415,Tannie,Bernolet,Polygender,4
416,1416,Isis,Plews,Female,1
417,1417,Jim,Pryell,Female,2
418,1418,Ettore,Kesten,Bigender,2
419,1419,Glori,Hatherley,Polygender,4
420,1420,Hyacinthe,Wheelwright,Polygender,1
421,1421,Jonell,Dikelin,Male,4
422,1422,Shellysheldon,Goddert.sf,Non-binary,4
423,1423,Krysta,Parsonage,Genderfluid,3
424,1424,Harrison,Arnatt,Genderfluid,2
425,1425,Candra,Symcox,Agender,2
426,1426,Frasco,Whightman,Female,3
427,1427,Boycey,Huckleby,Agender,1
428,1428,Lenee,Guiso,Female,4
429,1429,Malena,Fairtlough,Polygender,2
430,1430,Atlante,Chadderton,Bigender,4
431,1431,Beale,Carnell,Genderfluid,2
432,1432,Roch,Blasiak,Genderqueer,4
433,1433,Raddy,Ivimy,Bigender,1
434,1434,Gretel,Burkin,Bigender,3
435,1435,Malory,McGarvie,Non-binary,3
436,1436,Eunice,Smallthwaite,Female,2
437,1437,Hashim,Sayse,Agender,1
438,1438,Arliene,Chadwyck,Agender,1
439,1439,Tadio,Peplay,Polygender,2
440,1440,Hank,Miller,Genderfluid,2
441,1441,Bridget,MacCoughen,Female,4
442,1442,Judye,Vuitton,Female,3
443,1443,Elise,Grindle,Female,3
444,1444,Pippa,McLaughlin,Bigender,4
445,1445,Fairfax,Kenchington,Polygender,4
446,1446,Eldredge,Adolphine,Non-binary,4
447,1447,Kearney,Marcussen,Genderfluid,2
448,1448,Decca,Haskur,Agender,4
449,1449,Persis,Mitie,Bigender,1
450,1450,Janey,Aspland,Non-binary,3
451,1451,Evelin,Karsh,Male,2
452,1452,Bondie,Tether,Male,1
453,1453,Sarette,Dibbs,Genderqueer,3
454,1454,King,Audus,Male,4
455,1455,Alon,Bour,Agender,1
456,1456,Bradly,Talkington,Polygender,1
457,1457,Marcos,Hicken,Polygender,2
458,1458,Gunner,Ferber,Polygender,1
459,1459,Coleman,Mitchelhill,Genderqueer,1
460,1460,Reid,Dodd,Genderqueer,1
461,1461,Nicolais,de Villier,Genderfluid,4
462,1462,Wright,Fumagalli,Polygender,3
463,1463,Hope,Kahn,Polygender,1
464,1464,Adore,Forton,Male,2
465,1465,Nara,Gilmour,Female,4
466,1466,Edmund,Ghest,Bigender,2
467,1467,Galvan,Fullwood,Female,3
468,1468,Camey,Howett,Male,4
469,1469,Davita,Gauld,Genderfluid,4
470,1470,Stacia,Sproson,Genderqueer,3
471,1471,Jeromy,Clotworthy,Polygender,4
472,1472,Con,Labadini,Male,4
473,1473,Correy,Mapholm,Polygender,4
474,1474,Karlie,Burris,Genderqueer,2
475,1475,Jehanna,Trevaskis,Non-binary,4
476,1476,Dud,O'Sherrin,Non-binary,1
477,1477,Rossy,Hefner,Agender,2
478,1478,Christophorus,Armand,Non-binary,4
479,1479,Pearle,Lunney,Female,3
480,1480,Sela,Drain,Male,2
481,1481,Lorie,Romaynes,Polygender,3
482,1482,Mariel,Wagner,Agender,1
483,1483,Belvia,Learoyde,Genderfluid,3
484,1484,Emmalynne,Gathercole,Male,4
485,1485,Hillary,Spinola,Agender,2
486,1486,Shelly,Ahrens,Female,4
487,1487,Curtice,Jirek,Bigender,4
488,1488,Kathye,Banbridge,Bigender,2
489,1489,Aaron,McGreil,Polygender,2
490,1490,Quintilla,Teasdale,Non-binary,3
491,1491,Krishna,Sandyford,Polygender,3
492,1492,Dorey,Glasscock,Male,4
493,1493,Cara,Wadie,Female,1
494,1494,Twyla,Diggles,Genderqueer,1
495,1495,Keelby,Kitchinghan,Bigender,3
496,1496,Kesley,Lepere,Non-binary,2
497,1497,Tomaso,Riedel,Female,1
498,1498,Emmy,Giroldo,Genderfluid,1
499,1499,Corella,Howes,Genderqueer,3
500,1500,Thorn,Spanswick,Bigender,3
